"dataset_fitgroup","Cond"
"AlexandreBosc Le Bray_Bordeaux nondrought",0.0190844901515208
"Arnaud Heroult Richmond spp4_wet_time",0.03012
"Belinda Medlyn Tumbarumba Month_May",0.0589835
"Claudia Keitel Tumbarumba all",0.166666666666667
"David Tissue Big Bend National Park_Taxes_USA light_sun",0.029061111
"Derek Eamus Castlereagh Western Sydney Angophora bakeri",0.096258
"Derek Eamus Castlereagh Western Sydney Eucalyptus parramattensis",0.0909906666666667
"Emery Boose Harvard Forest Acer rubrum",0.0388461538461538
"Emery Boose Harvard Forest Betula alleghaniensis",0.094
"Emery Boose Harvard Forest Betula papyrifera",0.114166666666667
"Emery Boose Harvard Forest Quercus rubra",0.0744736842105263
"Jeff Kelly Cape Tribulation Canopy Crane spp2_lower_wet",0.041721684
"Jon Bennie Agoufou Hombori C3",0.23727
"Jon Bennie Agoufou Hombori C4",0.0906475
"Lasse Tarvainen Skogaryd NA",0.120851253283415
"Lisa Wingate Griffin ALL",0.0557436363636364
"Lucy_Rowland_Patrick_Meir Caxiuana Forest-Almeirim_Brazil all",0.008798
"Maj-Lena Linderson Soroe All",0.060516487382
"Mark Broadmeadow Headley S. London spp1_amb",0.0875
"Pasi Kolari Hyytiala summer2006",0.0275663639168766
"Pasi Kolari Hyytiala summer2007",0.0487358457477876
"Pasi Kolari Hyytiala summer2008",0.0504637726909091
"Patrick Mitchell Corrigin Water Reserve Eucalyptus capillosa",0.0160528
"Patrick Mitchell Corrigin Water Reserve Eucalyptus salmonophloiia",0.0961
"Reinhart Ceulemans Tervuren Belgium Ambient O3",0.071000816
"Reinhart Ceulemans_Markus Low Kranzberg Forest NA",0.024026069269987
"Sabine Tausz-Posch AGFACE Horsham Drysdale_ambCO2",0.132
"Sabine Tausz-Posch AGFACE Horsham Hartog_ambCO2",0.19
