species,gmin,source
Acer campestre,2.8,Burghardt and Riederer 2003
Fagus sylvatica,3.9,Burghardt and Riederer 2003
Quercus petraea,5.8,Burghardt and Riederer 2003
Ilex aquifolium,0.7,Burghardt and Riederer 2003
Hedera helix,0.73,Burghardt and Riederer 2003
Hedera helix,0.28,Burghardt and Riederer 2003
Hippocrepis comosa,6.92,Schuster 2016
Helianthemum apenninum,10.1,Schuster 2016
Geranium sanguineum,5.25,Schuster 2016
Sanguisorba minor,7.3,Schuster 2016
Sesleria albicans,5.76,Schuster 2016
Pulsatilla vulgaris,7.69,Schuster 2016
Teucrium chamaedrys,4.32,Schuster 2016
Salvia pratensis,8.21,Schuster 2016
Salvia pratensis,6.41,Schuster 2016
Plantago lanceolata,9.35,Schuster 2016
Quercus virginiana,13.8,Cavender-Bares et al 2007
Quercus oleoides,11.46,Cavender-Bares et al 2007
