species,PhylogeneticGroup,PlantGrowthForm
Acer syriacum,Angiosperm,tree
Arctostaphylos uva ursi,Angiosperm,shrub
Astragalus glycophyllos,Angiosperm,herb
Austrotaxus spicata,Gymnosperm,tree
Billbergia euphemiae,Angiosperm,NA
Cedrus deodora,Gymnosperm,tree
Clivia muniata,Angiosperm,herb
Coleus blumei,Angiosperm,herb
Cryptanthus acaulis,Angiosperm,herb
Cydonia oblongata,Angiosperm,tree
Delphinium,Angiosperm,herb
Euonymus japonica,Angiosperm,shrub
Gingko biloba,Angiosperm,tree
Gossypium lingulata,Angiosperm,shrub
hakea cinerea,Angiosperm,shrub
hakea dactyloides,Angiosperm,shrub
hakea elliptica,Angiosperm,shrub
hakea leucoptera,Angiosperm,shrub
hakea lorea,Angiosperm,shrub
hakea megadenia,Angiosperm,shrub
hakea petiolaris,Angiosperm,shrub
hakea propinqua,Angiosperm,shrub
hakea prostrata,Angiosperm,shrub
hakea salicifolia,Angiosperm,shrub
hakea sericea,Angiosperm,shrub
hakea teretifolia,Angiosperm,shrub
hakea varia,Angiosperm,shrub
Hesperocyparis macrocarpa,Gymnosperm,tree
Impatiens noli tangere,Angiosperm,herb
Lagarostrobus franklinii,Gymnosperm,tree
Medicago sativus,Angiosperm,herb
Microbiota decussata,Gymnosperm,shrub
Neoregelia,Angiosperm,NA
Nicodemia diversifolia,Angiosperm,NA
Opuntia camanchica,Angiosperm,NA
Peucedanum cerveria,Angiosperm,herb
Philodendron selloum,Angiosperm,NA
Pitcairnia macrochlamyus,Angiosperm,NA
Pitcairnia undulata,Angiosperm,NA
Puya,Angiosperm,herb
Rhamnus alnifolius,Angiosperm,shrub
Rhamnus glandulosus,Angiosperm,tree
Tillandsia achyrostachys,Angiosperm,NA
Tillandsia capitata,Angiosperm,NA
Tillandsia karwinskyana,Angiosperm,NA
Tillandsia multicaulis,Angiosperm,NA
Tillandsia polystachia,Angiosperm,NA
Triticum,Angiosperm,graminoid
Triticum vulgaris,Angiosperm,graminoid
Vicia sepum,Angiosperm,herb
