date,time,chamber,trt,rep,surface,g_night,leafT
42684,0.9375,1,amb,1,lower,320.2,21.6
42684,0.9375,1,amb,1,upper,30.3,21.5
42684,0.9375,1,amb,2,lower,234.4,21.5
42684,0.9375,1,amb,2,upper,27.7,21.7
42684,0.9375,1,amb,3,lower,271.3,22.1
42684,0.9375,1,amb,3,upper,28.5,22.3
42684,0.947916667,2,warmed,1,lower,278.9,22.3
42684,0.947916667,2,warmed,1,upper,41.2,22.3
42684,0.947916667,2,warmed,2,lower,272.5,22.9
42684,0.947916667,2,warmed,2,upper,28.8,23.6
42684,0.947916667,2,warmed,3,lower,156.9,23.6
42684,0.947916667,2,warmed,3,upper,30,23.5
42684,0.958333333,6,warmed,1,lower,223.5,23.5
42684,0.958333333,6,warmed,1,upper,28.2,23.7
42684,0.958333333,6,warmed,2,lower,162.5,23.9
42684,0.958333333,6,warmed,2,upper,30.2,24.1
42684,0.958333333,6,warmed,3,lower,132.2,24.3
42684,0.958333333,6,warmed,3,upper,35.1,24.3
42684,0.96875,5,amb,1,lower,303.9,24
42684,0.96875,5,amb,1,upper,26.5,23.7
42684,0.96875,5,amb,2,lower,289.9,23.3
42684,0.96875,5,amb,2,upper,27.1,23.3
42684,0.96875,5,amb,3,lower,296.6,23
42684,0.96875,5,amb,3,upper,22.6,23
42684,0.979166667,8,warmed,1,lower,216.7,22.9
42684,0.979166667,8,warmed,1,upper,28.1,22.8
42684,0.979166667,8,warmed,2,lower,239.3,22.7
42684,0.979166667,8,warmed,2,upper,30.3,22.6
42684,0.979166667,8,warmed,3,lower,235.2,22.6
42684,0.979166667,8,warmed,3,upper,22.2,22.7
42684,0,11,amb,1,lower,262.9,22.5
42684,0,11,amb,1,upper,39.2,22.5
42684,0,11,amb,2,lower,238.1,22.6
42684,0,11,amb,2,upper,33.3,22.7
42684,0,11,amb,3,lower,232.6,22.6
42684,0,11,amb,3,upper,39.2,22.4
